BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
1,INWOOD                   ,01  ONE FAMILY DWELLINGS                    ,1,2215,510, ,A5,49 MARBLE HILL AVENUE                    ,            ,10463,1,0,1,1219,1224,1920,1,A5,635000,8/18/17
1,WASHINGTON HEIGHTS LOWER ,01  ONE FAMILY DWELLINGS                    ,1,2109,65, ,A9,16 SYLVAN TERRACE                        ,            ,10032,1,0,1,673,1425,1899,1,A9,1560000,9/28/17
1,HARLEM-EAST              ,01  ONE FAMILY DWELLINGS                    ,1,1628,71, ,A5,104 EAST 101 STREET                      ,            ,10029,1,0,1,1607,1466,1890,1,A5,-,3/31/17
1,HARLEM-EAST              ,01  ONE FAMILY DWELLINGS                    ,1,1628,71, ,A5,104 EAST 101ST STREET                    ,            ,10029,1,0,1,1607,1466,1890,1,A5,-,2/4/17
1,HARLEM-EAST              ,01  ONE FAMILY DWELLINGS                    ,1,1625,101, ,A9,101B EAST 97TH STREET                    ,            ,10029,1,0,1,847,1472,1925,1,A9,-,3/7/17
1,LOWER EAST SIDE          ,01  ONE FAMILY DWELLINGS                    ,1,288,41, ,S1,515 GRAND STREET                         ,            ,10002,1,1,2,765,1507,1910,1,S1,-,8/31/17
1,MURRAY HILL              ,01  ONE FAMILY DWELLINGS                    ,1,893,74, ,A4,130 EAST 38TH STREET                     ,            ,10016,1,0,1,491,1824,1910,1,A4,2650000,5/9/17
1,GREENWICH VILLAGE-WEST   ,01  ONE FAMILY DWELLINGS                    ,1,625,39, ,S1,21 EIGHTH AVENUE                         ,            ,10014,1,1,2,757,1854,1900,1,S1,5550000,7/12/17
1,GREENWICH VILLAGE-WEST   ,01  ONE FAMILY DWELLINGS                    ,1,528,27, ,A9,58 DOWNING STREET                        ,            ,10014,1,0,1,1067,1920,1899,1,A9,5430000,6/28/17
1,MURRAY HILL              ,01  ONE FAMILY DWELLINGS                    ,1,893,71, ,A4,132 EAST 38TH   STREET                   ,            ,10016,1,0,1,495,1920,1910,1,A4,3850000,7/10/17
